person,personLabel,enwiki,positionLabel,parliamentaryGroupLabel
http://www.wikidata.org/entity/Q302763,Angela Eagle,https://en.wikipedia.org/wiki/Angela_Eagle,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q18164278,Angela Rayner,https://en.wikipedia.org/wiki/Angela_Rayner,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126850161,Angus MacDonald,https://en.wikipedia.org/wiki/Angus_MacDonald_(Liberal_Democrat_politician),member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q124433180,Ann Davies,https://en.wikipedia.org/wiki/Ann_Davies_(politician),member of the 59th Parliament of the United Kingdom,Plaid Cymru
http://www.wikidata.org/entity/Q126852021,Anna Dixon,https://en.wikipedia.org/wiki/Anna_Dixon,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126852172,Anna Gelderd,https://en.wikipedia.org/wiki/Anna_Gelderd,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q30164279,Anna McMorrin,https://en.wikipedia.org/wiki/Anna_McMorrin,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126849597,Anna Sabine,https://en.wikipedia.org/wiki/Anna_Sabine,member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q20648420,Anna Turley,https://en.wikipedia.org/wiki/Anna_Turley,member of the 59th Parliament of the United Kingdom,Labour Co-operative
http://www.wikidata.org/entity/Q16529268,Anneliese Dodds,https://en.wikipedia.org/wiki/Anneliese_Dodds,member of the 59th Parliament of the United Kingdom,Labour Co-operative
http://www.wikidata.org/entity/Q126850323,Anneliese Midgley,https://en.wikipedia.org/wiki/Anneliese_Midgley,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126852687,Antonia Bance,https://en.wikipedia.org/wiki/Antonia_Bance,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q76364885,Aphra Brandreth,https://en.wikipedia.org/wiki/Aphra_Brandreth,member of the 59th Parliament of the United Kingdom,Conservative Party
http://www.wikidata.org/entity/Q76363973,Apsana Begum,https://en.wikipedia.org/wiki/Apsana_Begum,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q76450762,Ashley Dalton,https://en.wikipedia.org/wiki/Ashley_Dalton,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q457673,Ashley Fox,https://en.wikipedia.org/wiki/Ashley_Fox,member of the 59th Parliament of the United Kingdom,Conservative Party
http://www.wikidata.org/entity/Q126937357,Ayoub Khan,https://en.wikipedia.org/wiki/Ayoub_Khan,member of the 59th Parliament of the United Kingdom,independent politician
http://www.wikidata.org/entity/Q126848918,Baggy Shanker,https://en.wikipedia.org/wiki/Baggy_Shanker,member of the 59th Parliament of the United Kingdom,Labour Co-operative
http://www.wikidata.org/entity/Q30165325,Bambos Charalambous,https://en.wikipedia.org/wiki/Bambos_Charalambous,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q391169,Barry Gardiner,https://en.wikipedia.org/wiki/Barry_Gardiner,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126852177,Bayo Alaba,https://en.wikipedia.org/wiki/Bayo_Alaba,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q76450757,Beccy Cooper,https://en.wikipedia.org/wiki/Beccy_Cooper,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126848741,Becky Gittins,https://en.wikipedia.org/wiki/Becky_Gittins,member of the 59th Parliament of the United Kingdom,Labour Party
