title,n_v02,n_wiki,sim_mean,sim_median,sim_max,sim_p90
darren lehmann,211,36,0.4632626175880432,0.47839587926864624,0.8447107672691345,0.620375394821167
darren o'dea,138,5,0.5778800845146179,0.5793432593345642,0.8444467782974243,0.7055444717407227
darren pang,105,5,0.6016488671302795,0.6101640462875366,0.8878233432769775,0.7389155626296997
darryl yap,153,1,0.5530366897583008,0.5551210641860962,0.7120697498321533,0.6463893055915833
darse crandall,75,4,0.6244198679924011,0.6270030736923218,0.9026808738708496,0.7740646600723267
dart gun,91,5,0.5911057591438293,0.5927367806434631,0.8410413265228271,0.7083883881568909
dartmoor,198,23,0.4138283133506775,0.4146410822868347,0.8678452372550964,0.5392733216285706
dartmouth–hitchcock medical center,94,10,0.5629623532295227,0.5754111409187317,0.871025800704956,0.6999914050102234
daru,133,2,0.5227581858634949,0.5366117358207703,0.857860803604126,0.7033087015151978
darvaza gas crater,112,3,0.6001954078674316,0.613914430141449,0.901229739189148,0.7389935851097107
darwin quintero,121,6,0.5818789005279541,0.5660731792449951,0.8451169729232788,0.7094297409057617
darwood kaye,60,5,0.5216119289398193,0.5455002188682556,0.9002420902252197,0.7108978033065796
daryl caudle,81,8,0.5888235569000244,0.5770498514175415,0.9241102337837219,0.7139071822166443
daryl murphy,120,4,0.6133907437324524,0.6149444580078125,0.886255145072937,0.7569340467453003
daryle lamonica,97,4,0.6075442433357239,0.6046506762504578,0.919981062412262,0.752586305141449
daryll clark,75,6,0.5864729285240173,0.5875252485275269,0.862118661403656,0.7411969900131226
darłowo,150,3,0.5003007054328918,0.5096151828765869,0.7871851325035095,0.6212275624275208
dasarathan,30,5,0.5229601263999939,0.4915475845336914,0.9077843427658081,0.7245660424232483
dasha astafieva,75,3,0.5400876998901367,0.5385335087776184,0.9152791500091553,0.6821675896644592
dashami,112,1,0.4630119800567627,0.44516438245773315,0.7619365453720093,0.6584087014198303
dashon goldson,69,2,0.6372988224029541,0.6279948949813843,0.8721945285797119,0.7636777758598328
daska,118,1,0.5208830833435059,0.5575387477874756,0.765763521194458,0.6669448614120483
dassault group,181,1,0.5536674857139587,0.5578900575637817,0.7855342626571655,0.6770877838134766
dassault mirage iiiv,109,5,0.612153947353363,0.6228467226028442,0.8352357149124146,0.7282461524009705
dassault mystère,111,5,0.6302255988121033,0.6389673948287964,0.8765683770179749,0.7460532188415527
data broker,190,6,0.48494938015937805,0.4915560483932495,0.7585184574127197,0.6124455332756042
data communication,153,13,0.4614560604095459,0.456767201423645,0.8365144729614258,0.5780231952667236
data compression,193,40,0.5095846652984619,0.5081595778465271,0.8155785202980042,0.6411578059196472
data fusion,153,8,0.4698808491230011,0.4842453598976135,0.7826440930366516,0.6141849756240845
data hierarchy,50,4,0.5977638363838196,0.6023216843605042,0.8098042011260986,0.7162297368049622
data in transit,79,1,0.3567051887512207,0.344378262758255,0.7060008645057678,0.4993574023246765
data quality,160,20,0.521733820438385,0.5309380292892456,0.7608067989349365,0.6208447813987732
databus,41,1,0.4446505010128021,0.44079190492630005,0.5414042472839355,0.4810445308685303
datacom (disambiguation),31,1,0.3967088758945465,0.39514267444610596,0.5561248064041138,0.48148930072784424
dataminr,159,4,0.5706332325935364,0.5670338273048401,0.8560540676116943,0.6651791930198669
date my dad,75,1,0.6111093163490295,0.6525996327400208,0.8688193559646606,0.7373227477073669
dating creation,255,28,0.3975597023963928,0.39283061027526855,0.8005856871604919,0.5178683996200562
datsun sports,130,3,0.5531342625617981,0.5488015413284302,0.8637783527374268,0.6879402995109558
dattatreyudu nori,69,3,0.6545992493629456,0.6617103815078735,0.845344603061676,0.7777115106582642
datuk,133,2,0.5222573280334473,0.5088047981262207,0.8061156868934631,0.6779977083206177
daughter language,64,1,0.5663502216339111,0.5572900772094727,0.7885316014289856,0.753791093826294
